id,nombre,tipo1,tipo2,hp,ataque,defensa,velocidad,generacion
1,Bulbasaur,Planta,Veneno,45,49,49,45,1
2,Ivysaur,Planta,Veneno,60,62,63,60,1
3,Venusaur,Planta,Veneno,80,82,83,80,1
4,Charmander,Fuego,,39,52,43,65,1
5,Charmeleon,Fuego,,58,64,58,80,1
6,Charizard,Fuego,Volador,78,84,78,100,1
7,Squirtle,Agua,,44,48,65,43,1
8,Wartortle,Agua,,59,63,80,58,1
9,Blastoise,Agua,,79,83,100,78,1
10,Caterpie,Bicho,,45,30,35,45,1
11,Metapod,Bicho,,50,20,55,30,1
12,Butterfree,Bicho,Volador,60,45,50,70,1
16,Pidgey,Normal,Volador,40,45,40,56,1
17,Pidgeotto,Normal,Volador,63,60,55,71,1
18,Pidgeot,Normal,Volador,83,80,75,101,1
19,Rattata,Normal,,30,56,35,72,1
20,Raticate,Normal,,55,81,60,97,1
25,Pikachu,Electrico,,35,55,40,90,1
26,Raichu,Electrico,,60,90,55,110,1
35,Clefairy,Hada,,70,45,48,35,1
36,Clefable,Hada,,95,70,73,60,1
37,Vulpix,Fuego,,38,41,40,65,1
38,Ninetales,Fuego,,73,76,75,100,1
43,Oddish,Planta,Veneno,45,50,55,30,1
44,Gloom,Planta,Veneno,60,65,70,40,1
45,Vileplume,Planta,Veneno,75,80,85,50,1
58,Growlithe,Fuego,,55,70,45,60,1
59,Arcanine,Fuego,,90,110,80,95,1
63,Abra,Psiquico,,25,20,15,90,1
64,Kadabra,Psiquico,,40,35,30,105,1
65,Alakazam,Psiquico,,55,50,45,120,1
66,Machop,Lucha,,70,80,50,35,1
67,Machoke,Lucha,,80,100,70,45,1
68,Machamp,Lucha,,90,130,80,55,1
74,Geodude,Roca,Tierra,40,80,100,20,1
75,Graveler,Roca,Tierra,55,95,115,35,1
76,Golem,Roca,Tierra,80,120,130,45,1
81,Magnemite,Electrico,Acero,25,35,70,45,1
82,Magneton,Electrico,Acero,50,60,95,70,1
92,Gastly,Fantasma,Veneno,30,35,30,80,1
93,Haunter,Fantasma,Veneno,45,50,45,95,1
94,Gengar,Fantasma,Veneno,60,65,60,110,1
95,Onix,Roca,Tierra,35,45,160,70,1
129,Magikarp,Agua,,20,10,55,80,1
130,Gyarados,Agua,Volador,95,125,79,81,1
133,Eevee,Normal,,55,55,50,55,1
134,Vaporeon,Agua,,130,65,60,65,1
135,Jolteon,Electrico,,65,65,60,130,1
136,Flareon,Fuego,,65,130,60,65,1
137,Porygon,Normal,,65,60,70,40,1
147,Dratini,Dragon,,41,64,45,50,1
148,Dragonair,Dragon,,61,84,65,70,1
149,Dragonite,Dragon,Volador,91,134,95,80,1
150,Mewtwo,Psiquico,,106,110,90,130,1
151,Mew,Psiquico,,100,100,100,100,1
152,Chikorita,Planta,,45,49,65,45,2
153,Bayleef,Planta,,60,62,80,60,2
154,Meganium,Planta,,80,82,100,80,2
155,Cyndaquil,Fuego,,39,52,43,65,2
156,Quilava,Fuego,,58,64,58,80,2
157,Typhlosion,Fuego,,78,84,78,100,2
172,Pichu,Electrico,,20,40,15,60,2
175,Togepi,Hada,,35,20,65,20,2
176,Togetic,Hada,Volador,55,40,85,40,2
179,Mareep,Electrico,,55,40,40,35,2
180,Flaaffy,Electrico,,70,55,55,45,2
181,Ampharos,Electrico,,90,75,85,55,2
246,Larvitar,Roca,Tierra,50,64,50,41,2
247,Pupitar,Roca,Tierra,70,84,70,51,2
248,Tyranitar,Roca,Siniestro,100,134,110,61,2
